Season,Race,Driver,Team,Stint,Compound,NumLaps,DegRate,Intercept,MeanLapTime,WetAffected
season2025,Lusail,RUS,Mercedes,3.0,HARD,24,-0.021661739130433753,87.69293347826084,84.898,False
season2025,Lusail,SAI,Williams,2.0,MEDIUM,21,0.017361038961039545,87.60894545454543,86.69699999999997,False
season2025,Lusail,SAI,Williams,3.0,HARD,24,0.019191739130435165,86.75745318840582,84.51404166666667,False
season2025,Lusail,STR,Aston Martin,2.0,MEDIUM,13,-0.0370714285714282,89.24402197802199,87.9383076923077,False
season2025,Lusail,STR,Aston Martin,3.0,MEDIUM,23,-0.003171936758896,88.02662648221344,85.95039130434785,False
season2025,Lusail,TSU,Red Bull Racing,2.0,MEDIUM,21,0.014616883116885769,88.54355411255409,87.59319047619046,False
season2025,Lusail,TSU,Red Bull Racing,3.0,HARD,24,-0.02760478260869543,88.01712289855071,85.14195833333333,False
season2025,Lusail,VER,Red Bull Racing,2.0,MEDIUM,21,-0.010366233766231739,87.19779393939392,85.89766666666667,False
season2025,Lusail,VER,Red Bull Racing,3.0,HARD,24,0.03205130434782694,86.44547405797101,84.37566666666667,False
season2025,Marina Bay,ALB,Williams,1.0,MEDIUM,39,0.0079744409906754,99.90281543166546,98.87428205128205,False
season2025,Marina Bay,ALB,Williams,2.0,SOFT,17,-0.06700245098038925,100.93285049019607,97.28082352941176,False
season2025,Marina Bay,ALO,Aston Martin,1.0,SOFT,24,-0.004250375312761181,99.27028773978313,98.41075000000001,False
season2025,Marina Bay,ALO,Aston Martin,2.0,MEDIUM,33,-0.025977093294784866,100.19794621742838,97.18521212121212,False
season2025,Marina Bay,ANT,Mercedes,1.0,MEDIUM,22,-0.03475228587423268,99.0614848852398,97.87022727272728,False
season2025,Marina Bay,ANT,Mercedes,2.0,HARD,35,0.08549866143006515,97.4576260829913,96.67691428571428,False
season2025,Marina Bay,BEA,Haas F1 Team,1.0,MEDIUM,20,-0.024590252100840423,99.68223058823529,98.70725000000002,False
season2025,Marina Bay,BEA,Haas F1 Team,2.0,HARD,37,0.011063172090713452,99.86700312311457,97.7018918918919,False
season2025,Marina Bay,BOR,Kick Sauber,1.0,MEDIUM,10,-0.1321363636363622,100.76945454545454,99.4595,False
season2025,Marina Bay,BOR,Kick Sauber,2.0,HARD,46,0.10449095719435877,98.0622466297751,98.57806521739131,False
season2025,Marina Bay,COL,Alpine,1.0,SOFT,11,-0.120205732484078,100.58727961783441,99.26527272727272,False
season2025,Marina Bay,COL,Alpine,2.0,MEDIUM,45,0.08743296390660704,98.74251196876561,98.76315555555554,False
season2025,Marina Bay,GAS,Alpine,1.0,MEDIUM,21,-0.04600122699386376,100.54920613496931,99.26023809523811,False
season2025,Marina Bay,GAS,Alpine,2.0,HARD,24,0.20325188118811643,97.69036996699673,98.40883333333333,False
season2025,Marina Bay,GAS,Alpine,3.0,SOFT,9,0.6602166666666661,95.6718111111111,96.4981111111111,False
season2025,Marina Bay,HAD,Racing Bulls,1.0,SOFT,17,-0.03628280938123921,99.90112275449106,98.85129411764706,False
season2025,Marina Bay,HAD,Racing Bulls,2.0,HARD,39,0.04959748579134934,99.50150004816491,98.2856923076923,False
season2025,Marina Bay,HAM,Ferrari,1.0,MEDIUM,21,-0.010474679308421024,98.91920066926936,98.08361904761904,False
season2025,Marina Bay,HAM,Ferrari,2.0,HARD,19,0.04051228070175319,97.72978596491228,96.25042105263158,False
season2025,Marina Bay,HUL,Kick Sauber,1.0,MEDIUM,22,-0.00012576973316070047,99.5992602164583,98.86759090909091,False
season2025,Marina Bay,HUL,Kick Sauber,2.0,HARD,17,0.10821078431372146,99.52842156862748,98.6855294117647,False
season2025,Marina Bay,HUL,Kick Sauber,3.0,SOFT,16,0.2581220588235345,97.08790294117642,96.59756250000001,False
season2025,Marina Bay,LAW,Racing Bulls,1.0,MEDIUM,44,0.04935798113438928,99.00901846134994,98.87104545454545,False
season2025,Marina Bay,LAW,Racing Bulls,2.0,SOFT,12,-0.24106643356643873,102.06008158508165,97.19958333333334,False
season2025,Marina Bay,LEC,Ferrari,1.0,MEDIUM,18,-0.02975451988750639,98.92280072318201,97.97166666666666,False
season2025,Marina Bay,LEC,Ferrari,2.0,HARD,39,0.113763500626143,96.9546593199114,97.05930769230771,False
season2025,Marina Bay,NOR,McLaren,1.0,MEDIUM,23,-0.015002280232742436,98.36972707972954,97.40491304347825,False
season2025,Marina Bay,NOR,McLaren,2.0,HARD,34,0.07697310924369817,97.284687394958,96.27217647058822,False
season2025,Marina Bay,OCO,Haas F1 Team,1.0,MEDIUM,27,-0.003391007483195744,99.7823688961231,98.85892592592593,False
season2025,Marina Bay,OCO,Haas F1 Team,2.0,HARD,29,0.09063797507308913,99.96372875827048,98.90482758620689,False
season2025,Marina Bay,PIA,McLaren,1.0,MEDIUM,24,-0.030004670558800073,98.72090008340281,97.50604166666666,False
season2025,Marina Bay,PIA,McLaren,2.0,HARD,33,0.07560597866350642,97.16896203141202,96.06548484848486,False
season2025,Marina Bay,RUS,Mercedes,1.0,MEDIUM,22,0.026872644150026253,97.4833721776451,97.11004545454544,False
season2025,Marina Bay,RUS,Mercedes,2.0,HARD,35,0.07222138622891128,97.3707432740538,96.33131428571427,False
season2025,Marina Bay,SAI,Williams,1.0,MEDIUM,46,0.04064333040164102,99.20711681388858,98.84102173913045,False
season2025,Marina Bay,SAI,Williams,2.0,SOFT,10,0.0074545454545445426,98.59374545454544,95.5347,False
season2025,Marina Bay,STR,Aston Martin,1.0,SOFT,35,0.03781112389719962,99.24686482546997,98.90554285714285,False
season2025,Marina Bay,STR,Aston Martin,2.0,MEDIUM,21,-0.06128501075512196,101.30374538661833,97.66290476190477,False
season2025,Marina Bay,TSU,Red Bull Racing,1.0,SOFT,10,-0.15468181818181712,101.01687272727271,99.54909999999998,False
season2025,Marina Bay,TSU,Red Bull Racing,2.0,HARD,46,0.06341708994335062,98.60473585010449,98.09906521739131,False
season2025,Marina Bay,VER,Red Bull Racing,1.0,SOFT,16,-0.026136627450980447,98.47561427450982,97.57062499999999,False
season2025,Marina Bay,VER,Red Bull Racing,2.0,HARD,41,0.06661060853308773,97.13848416483154,96.35373170731708,False
season2025,Mexico City,ALB,Williams,1.0,HARD,37,0.03992083183581429,84.47440881656733,84.1442972972973,False
season2025,Mexico City,ALB,Williams,2.0,SOFT,26,0.1186064957264948,83.09466735042736,81.76196153846152,False
season2025,Mexico City,ALO,Aston Martin,1.0,SOFT,16,0.054709899749371044,84.14345112781955,84.1401875,False
season2025,Mexico City,ALO,Aston Martin,2.0,MEDIUM,12,0.11346153846153982,83.1779102564102,82.62983333333334,False
season2025,Mexico City,ANT,Mercedes,1.0,SOFT,18,0.07005237184006514,82.86042209688785,83.25538888888889,False
season2025,Mexico City,ANT,Mercedes,2.0,MEDIUM,23,0.05833201581027516,83.71516205533595,82.54847826086957,False
season2025,Mexico City,ANT,Mercedes,3.0,SOFT,20,0.07286917293232809,83.29739699248127,81.1365,False
season2025,Mexico City,BEA,Haas F1 Team,1.0,SOFT,20,0.06755012158876073,82.76633301810321,83.13590000000002,False
season2025,Mexico City,BEA,Haas F1 Team,2.0,MEDIUM,22,0.044581592320721064,83.87209373235464,82.42186363636364,False
season2025,Mexico City,BEA,Haas F1 Team,3.0,SOFT,19,0.08112456140350509,83.21188771929829,81.10263157894735,False
